chunk_id,doc_id,text,length
c_00000,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"Информатика. Экономика. Управление// 
Informatics. Economics. Management  
2025; 4(1) 
eISSN: 2782-5280 
http://oajiem.com/         
 
  
© Назарян А. К., Карцан И. Н., 2025                 1001 
 
УДК: 004.056.53  EDN: DVSBRU  
DOI: https://doi.org/10.47813/2782-5280-2025-4-1-1001-1007  
 
Современные кибератаки: 
классификация и способы защиты 
А. К. Назарян1  
И. Н. Карцан2, 3 
 
1ФГАОУ ВО «Севастопольский государственный 
университет»,  
г. Севастополь, Россия 
2ФГБНУ «Аналитический центр», г. Москва, 
Россия 
3ФГБОУ ВО «Сибирский государственный 
университет науки и технологий имени академика 
М.Ф. Решетнева», г. Красноярск, Россия 
 
Аннотация. В статье представлен анализ современных кибератак, их классификации, механизмов реализации и 
методов защиты. Особое внимание уделено рассмотрению наиболее распространённых видов атак, таких как фишинг,",861
c_00001,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"методов защиты. Особое внимание уделено рассмотрению наиболее распространённых видов атак, таких как фишинг, 
Ransomware, DDoS, атаки через цепочку поставок и вредоносное программное обеспечение. Выявлены ключевые цели 
атак, включая кражу данных, нарушение доступности, вымогательство и шпионаж. Проанализированы основные 
методы реализации кибератак, среди которых использование социальных манипуляций, эксплу атация уязвимостей и 
создание сетей заражённых устройств. На основе рассмотрения примеров реальных атак, включая случаи WannaCry, 
SolarWinds и Equifax, показаны их последствия для организаций и пользователей. Предложены методы защиты, 
включающие технические меры (фаерволы, системы обнаружения вторжений, шифровани е), организационные меры 
(политики безопасности, управление доступом) и образовательные инициативы (обучение сотрудников, симуляции",862
c_00002,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"(политики безопасности, управление доступом) и образовательные инициативы (обучение сотрудников, симуляции 
атак). Отдельное внимание уделено внедрению современных технологий , таких как искусственный интеллект и 
машинное обучение, которые позволяют своевременно выявлять и блокировать угрозы.  Сделан вывод о важности 
комплексного подхода к информационной безопасности, сочетающего проактивные меры с обучением и постоянным 
мониторингом инфраструктуры. Представленные в статье рекомендации направлены на повышение устойчивости 
цифровых систем к кибератакам и снижение их негативных последствий. 
Ключевые слова: кибератаки, информационная безопасность, фишинг, DDoS, методы защиты, шифрование данных, 
искусственный интеллект. 
Для цитирования:  Назарян, А. К., & Карцан, И. Н. Современные кибератаки: классификация и способы защиты.",838
c_00003,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"Для цитирования:  Назарян, А. К., & Карцан, И. Н. Современные кибератаки: классификация и способы защиты. 
Информатика. Экономика. Управление - Informatics. Economics. Management, 4(1), 1001 –1007. 
https://doi.org/10.47813/2782-5280-2025-4-1-1001-1007  
 
Modern cyberattacks: classification and 
methods of defense  
Artur Nazaryan1  
Igor Kartsan2, 3 
 
1Sevastopol State University, Sevastopol, Russia 
2Analytical Center, Moscow, Russia 
3Reshetnev Siberian State University of Science 
and Technology, Krasnoyarsk, Russia 
 
Abstract. The article presents an analysis of modern cyberattacks, their classification, implementation mechanisms and defense 
methods. Special attention is paid to the most common types of attacks, such as phishing, Ransomware, DDoS, supply chain",779
c_00004,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"attacks and malware. Key targets of attacks are identified, including data theft, availability disruption, ransomware and 
espionage. The main methods of cyberattacks are analyzed, including the use of social manipulation, exploitation of 
vulnerabilities, and networking of infected devices. Examples of real -world attacks, including WannaCry, SolarWinds, and 
Equifax, are examined to show the impact on organizations and users. Protection methods includi ng technical measures 
(firewalls, intrusion detection systems, encryption), organizational measures (security policies, access control), and educational 
initiatives (employee training, attack simulations) are proposed. Special attention is paid to the intr oduction of modern 
technologies, such as artificial intelligence and machine learning, which allow timely detection and blocking of threats. The",863
c_00005,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"conclusion is made about the importance of a comprehensive approach to information security, combining proactive measures 
with training and constant monitoring of infrastructure. The recommendations presented in the article are aimed at increasing  
the resilience of digital systems to cyberattacks and reducing their negative consequences. 
Keywords: cyberattacks, information security, phishing, DDoS, defense methods, data encryption, artificial intelligence. 
For citation: Nazaryan, A. K., & Kartsan, I. N. Modern cyberattacks: classification and methods of defense . Informatics. 
Economics. Management, 4(1), 1001–1007. https://doi.org/10.47813/2782-5280-2025-4-1-1001-1007",682
c_00006,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"Информатика. Экономика. Управление// 
Informatics. Economics. Management  
2025; 4(1) 
eISSN: 2782-5280 
http://oajiem.com/         
 
  
  1002 
 
ВВЕДЕНИЕ 
Современное общество неразрывно связано  с 
цифровыми технологиями, что привело к 
значительному увеличению числа и сложности 
кибератак [1, 2]. Киберпреступность, как форма 
угрозы, представляет собой серьезную проблему 
для государственных, корпоративных и частных 
пользователей, способных нанести значительный 
ущерб. В последние годы наблюдается рост 
частоты и сложности кибератак, что связано с 
развитием информационных технологий, 
повсеместным внедрением интернета вещей 
(IoT), а также усилением угроз в глобальной сети 
[3]. Актуальность темы киберугро з в 
значительной мере обусловлена быстро 
меняющимися технологиями, которыми активно 
пользуются как преступники, так и те, кто их 
защищает.",865
c_00007,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"меняющимися технологиями, которыми активно 
пользуются как преступники, так и те, кто их 
защищает. 
Кибератаки могут быть направлены на 
различные цели: от кражи конфиденциальной 
информации и разрушения критической 
инфраструктуры до политических манипуляций 
и финансовых махинаций  [4, 5] . Их методы 
становятся все более разнообразными и 
сложными, включая как традиционные формы 
атак, такие как фишинг или DDoS, так и более 
сложные атаки на цепочки поставок или 
использование уязвимостей в программном 
обеспечении [6]. 
Основная проблема заключается в том, что 
многие организации и пользователи 
недостаточно защищены от кибератак, что 
объясняется не только отсутствием знаний о 
возможных угрозах, но и неспособностью 
эффективно противодействовать новым типам 
атак. Традиционны е методы защиты, такие как 
антивирусные программы и фаерволы, хотя и",863
c_00008,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"атак. Традиционны е методы защиты, такие как 
антивирусные программы и фаерволы, хотя и 
остаются важными, часто оказываются 
недостаточными для защиты от современных 
угроз [7, 8] . Это связано с развитием 
киберпреступности, которая использует все 
более сложные методы, включая социальную 
инженерию, уязвимости в цепочках поставок и 
целенаправленные атаки на слабые места в 
системах безопасности. 
Для эффективной борьбы с кибератаками 
необходимо выявить и классифицировать 
основные виды угроз, понять их механизмы 
реализации и последствия, а также предложить 
методы защиты, которые позволят 
минимизировать риски [9, 10]. Важно учитывать, 
что кибератаки не ограничиваются только 
техническими уязвимостями, но часто связаны с 
человеческим фактором, что требует 
комплексного подхода к безопасности, 
включающего как технические меры, так и 
организационные [11].",875
c_00009,001_Карцан_Современные+кибератаки+классификация+и+способы+защиты+(1),"комплексного подхода к безопасности, 
включающего как технические меры, так и 
организационные [11]. 
КЛАССИФИКАЦИЯ КИБЕРАТАК  
Кибератаки можно классифицировать по 
различным признакам  (рисунок 1) , и одним из 
самых важных является разделение по целям и 
методам реализации. 
 
РИСУНОК 1. ВИДЫ КИБЕРАТАК. 
FIGURE 1. TYPES OF CYBERATTACKS. 
По целям кибератаки могут преследовать 
различные намерения, включая кражу данных, 
нарушение доступности, модификацию данных, 
вымогательство, шпионаж и нарушение 
конфиденциальности. Кража данных является 
одной из самых распространенных целей атак, 
где злоумышленники пытаются получить доступ 
к конфиденциальной информации, такой как 
персональные данные, финансовая информация 
или интеллектуальная собственность.  
Нарушение доступности - это атаки, 
направленные на блокировку или перегрузку 
серверов, чтобы легитимные пользователи не",886
